300 3
142 5 16
23 123 53
97 182 149
178 52 30
147 85 99
22 1 195
26 49 79
191 168 177
60 57 156
99 96 57
133 140 57
106 58 179
108 56 91
137 16 151
38 16 68
81 103 126
52 5 116
42 199 35
93 157 151
76 70 85
100 133 71
110 24 76
43 133 200
96 58 96
161 112 25
193 55 111
80 35 33
16 7 83
193 91 131
187 171 39
37 196 156
118 130 4
158 11 134
60 101 102
54 74 185
52 60 106
4 31 39
132 45 92
26 108 153
54 2 167
60 183 109
91 22 43
193 179 157
70 114 177
159 43 102
67 10 180
171 192 71
117 194 36
46 64 125
152 27 45
137 197 53
40 1 12
193 12 64
11 184 113
158 179 29
103 80 150
14 10 171
36 159 180
43 54 146
108 125 160
119 28 144
1 91 32
53 147 140
61 115 141
56 81 57
130 189 1
46 119 185
116 193 8
112 121 148
199 60 167
183 130 31
56 196 147
7 191 12
27 200 62
165 178 138
71 177 134
171 106 35
198 60 115
119 57 160
145 40 151
1 118 32
148 60 156
112 113 147
54 80 119
123 57 119
176 112 63
106 154 115
190 108 82
25 16 46
171 65 58
125 21 126
83 172 17
126 188 110
147 107 185
36 114 89
74 112 153
133 142 45
8 43 162
187 95 105
112 143 172
16 192 80
81 12 125
183 82 84
74 70 43
23 67 85
91 17 41
173 16 92
174 69 38
53 184 15
142 47 110
85 21 86
10 192 196
141 198 130
152 73 9
78 7 30
195 125 22
16 110 112
132 8 90
46 23 69
171 150 78
168 139 158
124 2 83
148 180 130
24 148 179
154 122 106
189 147 39
13 4 81
156 135 124
91 188 186
179 60 28
124 152 162
99 8 98
71 162 165
4 12 145
156 189 110
134 152 169
30 184 19
126 186 100
170 153 175
180 39 178
17 13 73
56 85 119
60 46 123
125 140 54
74 59 187
62 9 75
6 2 80
110 49 83
140 161 185
135 59 149
32 126 32
143 191 100
161 32 165
113 199 138
100 143 62
153 70 182
32 145 73
169 36 177
178 53 187
154 193 181
57 105 65
152 186 42
45 2 104
48 174 74
19 185 133
28 30 73
22 60 18
45 32 30
7 136 4
121 167 175
78 78 119
74 193 22
198 69 34
182 30 29
62 84 101
84 101 148
3 181 126
8 196 80
118 7 158
105 144 23
49 185 106
45 51 12
56 44 197
134 59 85
168 123 78
66 183 154
72 192 137
104 89 114
110 66 31
129 11 142
89 98 40
63 84 122
14 196 107
197 40 72
55 104 60
162 192 32
91 151 25
163 168 15
174 62 193
60 120 4
98 97 157
197 192 181
133 72 108
29 99 137
18 183 125
6 15 181
38 95 155
53 43 188
35 178 21
52 5 107
80 52 159
166 168 153
100 52 50
68 88 125
191 2 120
60 131 171
174 188 16
174 54 148
185 126 60
173 106 54
77 48 161
96 121 85
183 167 137
57 121 198
16 183 13
127 123 50
153 156 121
113 91 112
95 148 192
178 24 103
39 43 54
188 107 140
80 177 144
105 190 198
160 86 26
23 111 166
51 164 39
25 42 100
79 195 144
177 98 177
16 128 186
27 107 119
100 157 81
105 165 66
168 39 104
75 37 153
45 63 133
133 190 139
101 39 13
182 36 48
189 95 1
186 109 149
108 164 149
108 85 69
147 67 29
19 73 190
118 114 9
19 172 153
30 3 46
127 39 36
149 6 85
133 174 95
152 17 19
54 22 127
21 197 103
17 144 82
40 33 26
108 141 159
178 47 79
43 189 25
17 17 160
56 144 129
131 119 42
127 184 166
107 115 84
98 82 25
100 157 129
72 87 21
138 107 96
157 171 101
158 148 127
121 98 155
34 102 88
63 52 91
98 21 78
74 38 128
145 105 187
178 118 21
121 130 28
73 188 96
116 98 123
146 30 92
83 69 97
81 88 74
94 133 176
47 178 116
158 194 40
197 92 98
189 195 80
16 52 72
