800 3
91 31 41
87 4 29
50 71 144
166 136 109
141 114 170
56 140 62
118 190 105
13 145 75
4 193 91
25 113 151
89 93 169
55 126 81
4 145 114
12 104 47
186 64 139
152 136 57
100 1 133
147 22 157
73 153 9
158 5 53
130 102 200
30 85 80
133 27 47
106 150 25
57 147 97
95 60 31
85 61 56
5 168 124
7 49 93
96 122 49
34 96 126
75 32 9
198 82 133
121 18 114
180 124 149
20 150 117
60 76 78
98 56 81
142 174 135
155 51 33
54 73 69
117 65 173
199 174 117
198 34 135
52 115 182
17 46 22
130 171 162
74 40 1
137 15 113
102 121 115
37 179 92
16 38 37
78 111 131
199 133 69
183 120 9
82 182 87
173 99 185
36 142 172
92 84 189
170 198 192
109 76 85
49 164 106
154 156 157
127 11 18
54 188 117
169 107 199
198 20 108
199 89 171
160 57 143
27 139 6
30 59 93
194 128 31
174 115 126
91 35 1
44 131 27
86 78 162
78 110 4
14 153 83
115 89 58
137 178 155
179 45 65
24 80 80
186 32 61
61 33 171
169 148 96
23 145 158
188 135 147
196 141 25
52 108 179
2 76 149
163 200 77
179 179 132
4 139 47
196 147 15
147 95 50
18 115 101
1 72 150
126 14 146
139 197 23
36 83 156
185 49 40
170 158 123
34 97 127
57 143 44
190 66 157
170 74 64
92 86 45
138 147 175
176 38 3
169 161 104
98 49 88
11 137 88
161 6 82
22 72 179
150 160 35
61 27 119
116 53 135
161 196 48
55 131 96
8 59 60
61 44 2
10 60 4
114 53 156
17 163 130
12 67 156
69 112 101
111 67 79
186 15 102
180 62 9
193 51 37
117 186 93
130 160 56
28 183 108
37 171 186
111 89 155
40 64 20
54 156 83
164 198 82
39 79 190
9 20 186
95 7 75
89 198 88
76 63 105
124 152 174
13 170 19
23 66 158
161 153 74
8 65 59
45 162 46
164 97 106
162 95 27
96 14 144
17 25 172
115 72 102
191 153 72
6 152 87
105 27 193
49 180 14
58 37 82
95 33 10
94 120 68
31 182 2
96 107 156
103 27 133
67 147 166
70 107 177
91 199 139
196 65 113
177 45 147
74 43 135
155 161 67
135 89 18
87 16 123
146 65 110
8 200 50
185 41 104
87 29 22
130 105 108
71 114 96
75 147 150
34 45 25
145 108 16
84 113 5
68 75 23
100 52 106
172 57 196
67 64 34
69 168 153
64 200 91
60 125 197
1 32 180
24 122 62
150 46 84
174 20 197
123 128 121
133 50 35
22 95 4
113 34 61
174 109 25
171 121 30
105 110 102
46 110 31
88 184 2
126 198 154
45 162 140
11 195 145
96 84 195
77 197 179
38 19 97
92 83 182
62 79 38
49 75 191
112 60 158
31 145 117
141 180 17
107 148 125
43 71 114
135 63 48
148 95 146
121 49 55
12 177 58
160 71 167
32 189 164
23 103 175
155 123 40
57 92 139
199 139 105
164 147 15
180 162 170
157 99 64
134 105 103
88 36 36
196 5 98
193 72 88
166 75 126
80 81 127
194 21 7
131 3 112
75 129 105
99 68 112
5 143 90
70 35 12
179 35 76
7 54 21
184 78 98
59 129 167
91 59 160
155 36 183
63 95 121
152 54 193
92 26 177
130 93 122
51 195 2
48 196 111
116 137 56
146 46 53
51 87 141
143 133 184
187 79 7
62 96 62
181 149 189
86 186 47
63 129 1
34 92 127
141 170 88
145 80 30
134 176 4
36 118 65
185 196 82
179 16 185
97 31 192
165 130 115
98 182 126
47 9 41
191 177 27
43 15 152
131 166 60
58 18 119
159 133 6
88 69 131
47 165 145
137 60 6
184 116 174
84 37 127
24 78 178
124 117 107
85 132 131
32 31 31
60 87 198
34 107 162
167 93 23
109 200 133
115 153 195
182 51 152
125 40 137
175 183 130
70 18 94
11 195 170
194 82 70
40 158 49
133 171 174
78 195 52
67 178 33
117 68 128
164 23 184
17 188 35
69 179 179
103 69 83
71 192 28
128 85 173
9 44 103
24 156 50
160 3 190
31 184 50
79 90 165
11 66 194
116 186 54
20 96 104
121 123 119
82 187 4
132 128 144
117 187 137
90 1 95
97 188 24
199 165 141
145 22 154
31 188 136
161 81 7
167 153 128
100 49 111
18 122 117
197 178 172
137 146 86
117 163 38
119 18 153
118 91 5
37 43 199
172 161 19
91 33 123
18 160 145
196 42 183
31 67 68
125 117 122
44 199 187
16 34 169
31 107 110
60 142 184
44 27 161
196 2 115
102 12 184
148 177 75
120 41 85
54 61 141
14 62 198
29 63 176
30 93 134
72 59 197
123 194 137
39 68 42
135 102 153
61 12 107
52 79 73
17 149 114
96 101 94
78 66 171
50 132 162
121 29 108
2 15 94
159 132 54
157 103 105
22 14 112
152 1 56
81 31 82
86 33 80
4 124 179
125 103 78
45 94 123
50 122 12
18 95 64
44 51 20
175 75 106
141 199 89
82 17 124
70 71 86
7 104 178
137 103 128
194 104 131
8 186 132
194 145 10
106 181 193
86 109 37
11 175 62
112 14 94
143 10 200
189 32 56
21 4 24
161 149 70
161 143 157
79 98 26
126 57 155
32 169 18
7 121 40
79 33 9
157 117 94
24 88 153
71 178 109
82 147 74
46 80 166
126 188 137
83 1 133
83 142 170
104 118 175
64 123 52
144 54 1
20 35 192
88 139 142
196 139 23
85 62 121
168 15 24
148 105 141
29 71 149
80 132 82
103 55 1
8 124 107
170 2 100
105 25 58
98 57 6
39 25 162
174 127 36
21 128 96
108 147 118
16 5 56
51 59 158
54 5 10
62 90 62
131 91 158
109 69 182
63 142 40
161 9 127
87 138 76
175 91 196
10 143 116
143 61 16
18 13 104
122 131 50
145 34 189
162 87 105
185 16 72
140 70 47
122 92 44
26 106 39
44 47 189
103 116 67
54 66 97
82 155 110
43 159 184
11 25 144
68 161 94
46 88 192
170 142 69
142 54 147
90 37 121
166 175 102
127 168 140
57 151 71
163 45 64
134 136 87
34 29 13
91 116 26
28 108 194
105 132 112
195 163 80
29 188 37
3 105 47
132 129 142
82 40 68
69 103 115
177 48 13
108 74 197
198 184 123
