500 3
2 151 6
90 53 112
4 66 170
89 90 172
159 171 16
157 110 196
169 136 82
167 81 31
175 132 143
133 68 30
178 20 37
166 129 32
85 133 178
165 112 120
88 78 176
101 98 111
144 197 86
97 144 23
149 75 138
151 120 30
55 125 2
77 14 142
173 47 127
57 95 104
67 116 23
155 179 160
76 135 21
181 30 23
71 76 8
59 59 19
175 92 152
85 80 117
112 160 52
173 87 147
71 166 3
151 6 83
116 138 185
113 136 38
123 185 125
151 76 119
99 67 195
46 166 132
177 65 9
132 166 150
100 141 199
102 12 127
72 79 25
139 132 194
14 177 73
56 115 161
93 116 190
158 43 15
185 98 196
170 58 78
19 107 8
128 9 61
185 164 106
78 90 44
141 160 109
164 149 177
120 82 185
43 97 105
169 96 115
132 155 173
137 145 132
181 67 189
189 199 84
119 176 94
2 81 160
66 168 164
36 181 16
101 38 123
96 31 132
81 192 85
132 41 150
25 41 55
89 118 46
148 197 166
37 82 18
110 195 162
126 200 124
68 98 200
23 166 163
154 108 167
122 84 138
190 175 169
33 128 57
19 159 169
107 55 23
11 155 183
139 118 22
21 16 34
16 8 5
194 167 171
98 170 91
70 96 32
74 96 151
108 173 39
169 12 56
195 9 21
186 140 89
10 45 44
44 80 33
27 131 161
29 144 79
169 168 64
151 158 71
92 32 137
54 2 146
192 123 144
135 172 58
187 101 22
175 97 41
153 96 138
77 94 128
5 69 195
111 187 177
36 39 76
174 97 122
152 196 156
83 1 146
38 50 139
78 40 49
51 58 46
135 8 143
158 10 172
36 15 157
105 28 200
49 111 49
27 193 1
196 103 99
66 109 132
125 183 74
190 104 127
59 43 32
88 79 155
91 129 92
44 102 19
161 187 91
40 164 61
90 16 79
188 103 19
176 170 158
78 87 46
65 197 109
94 31 62
181 164 160
199 152 25
170 40 150
157 76 173
9 136 162
141 164 37
146 29 124
86 85 160
61 193 1
80 131 196
137 138 150
39 31 91
197 103 140
29 125 177
180 51 19
89 189 117
190 85 32
137 17 149
162 153 99
177 159 162
191 4 32
1 171 74
53 196 180
130 160 4
139 21 5
32 110 72
36 136 158
48 171 53
82 181 84
7 85 195
157 102 169
90 50 145
171 34 36
134 74 79
15 143 153
179 24 55
130 134 156
26 116 71
122 64 47
166 173 130
80 37 141
153 97 111
28 21 84
105 149 200
181 116 16
66 186 115
162 192 104
68 197 21
10 13 103
59 73 78
72 10 180
168 153 188
149 52 93
146 174 24
196 86 90
172 164 31
25 8 134
50 14 158
58 97 162
50 152 161
187 20 145
11 109 138
113 141 184
177 143 133
135 59 21
25 196 92
87 162 53
50 59 179
35 24 168
46 190 189
130 181 6
93 136 136
138 153 195
93 163 21
153 200 160
163 148 44
44 138 110
159 197 68
57 170 106
21 135 90
154 173 77
91 200 93
176 120 127
99 10 110
65 2 41
141 117 24
10 93 187
188 68 198
109 140 198
143 24 179
126 160 137
40 29 74
56 169 116
133 78 145
85 71 110
72 36 55
166 22 88
156 146 70
187 90 89
163 18 152
111 31 136
72 146 43
140 51 158
135 198 128
193 154 113
73 172 198
10 63 117
50 148 6
22 112 74
19 48 162
172 170 145
173 191 197
170 161 137
75 180 56
101 114 18
176 136 159
71 79 175
170 70 83
92 65 74
57 69 84
197 136 58
115 53 104
67 89 183
48 137 112
108 196 22
103 114 28
189 61 85
199 127 6
22 50 139
14 137 74
35 160 134
145 164 71
148 67 78
163 27 26
11 163 112
88 114 191
83 38 68
68 46 127
40 89 190
134 111 35
107 50 22
133 71 85
47 184 138
174 190 146
90 24 186
145 50 200
75 161 50
61 164 150
80 25 147
86 134 57
99 127 148
133 115 92
181 185 41
120 143 144
5 132 70
192 128 186
156 78 178
134 138 193
99 76 39
165 61 42
20 43 132
12 124 142
23 17 153
87 62 35
105 174 116
117 190 183
56 55 130
126 85 125
116 46 179
179 5 10
61 145 22
8 54 157
199 129 114
107 71 98
101 9 102
16 32 196
118 4 139
199 191 83
159 12 121
99 44 133
177 59 66
131 128 178
167 192 64
67 182 123
166 60 67
116 28 113
138 163 63
138 136 46
18 181 120
116 147 85
140 162 17
53 58 83
38 174 66
70 109 4
24 176 70
138 99 200
41 83 54
94 179 22
61 54 60
182 133 58
10 74 153
40 171 156
182 27 194
7 18 47
93 181 133
77 177 4
127 16 75
34 178 106
160 21 44
35 19 130
189 169 48
102 22 14
198 103 13
170 95 26
115 191 135
167 195 149
183 50 11
110 77 129
143 175 11
152 39 81
28 92 69
146 153 34
30 191 136
74 84 129
117 191 35
154 159 72
90 30 124
195 33 60
118 151 73
157 157 88
41 10 22
42 125 149
178 157 192
166 197 85
89 190 35
182 59 153
81 180 127
116 16 46
139 50 144
63 152 57
51 117 177
144 89 87
29 125 144
2 178 18
54 80 107
25 142 132
4 150 149
103 173 107
167 167 190
11 148 160
139 169 68
16 23 14
95 138 72
126 167 159
25 168 117
137 90 71
94 122 61
142 77 152
94 115 35
10 97 100
5 173 35
196 100 5
177 69 13
144 86 36
87 9 126
57 148 71
174 85 109
56 133 70
31 193 158
10 161 73
