600 3
182 170 141
32 92 161
103 24 7
136 67 196
58 137 174
17 125 197
162 175 135
36 90 147
141 180 16
195 23 167
29 68 191
129 8 183
41 199 175
73 192 167
102 143 162
53 81 8
182 91 89
134 167 120
186 140 166
92 5 111
110 154 107
86 155 22
118 87 124
132 9 86
123 10 72
10 78 74
181 81 180
46 73 180
134 114 171
179 52 59
74 125 140
42 130 123
99 195 12
6 154 175
173 196 92
128 92 147
108 180 141
11 183 86
24 27 160
28 132 151
50 130 29
29 143 108
88 40 33
76 151 151
46 168 6
29 134 88
104 140 78
55 140 182
49 38 132
161 95 143
187 147 68
127 64 123
102 106 57
167 29 78
38 44 11
67 146 174
173 92 133
163 186 62
146 128 129
58 137 19
91 151 111
67 172 142
100 173 43
141 139 42
33 88 153
195 88 181
129 119 75
165 56 134
9 115 88
68 94 67
98 182 66
155 47 141
33 153 195
2 157 5
152 47 20
169 106 144
18 144 99
86 19 50
167 28 93
89 122 42
94 105 39
91 83 189
45 72 80
114 194 103
169 17 94
62 188 99
141 27 85
8 62 106
103 32 136
164 58 22
127 178 70
34 34 107
195 162 114
14 118 152
18 153 134
122 3 175
142 146 143
154 81 46
29 179 47
73 129 81
181 24 143
41 149 13
145 76 157
86 155 81
154 85 164
159 103 157
35 177 48
122 130 55
11 89 144
20 62 79
69 165 101
70 59 15
4 3 151
8 121 16
129 19 113
57 159 182
123 120 38
189 100 96
136 28 49
29 125 123
62 139 120
142 127 145
60 164 33
182 127 94
172 5 154
33 189 132
191 109 145
76 68 50
13 184 130
88 180 174
71 117 101
115 83 53
115 71 168
100 118 17
26 146 90
21 101 132
10 129 11
90 27 55
165 67 147
44 8 134
152 90 159
80 159 39
146 35 23
3 141 38
182 106 71
113 53 174
178 25 17
20 83 190
36 36 197
133 52 171
94 47 103
41 174 30
179 81 94
158 42 112
183 155 58
91 43 104
168 12 63
165 1 48
170 70 166
86 106 39
195 89 26
62 81 101
42 123 105
148 198 101
173 22 154
121 29 59
134 124 123
129 45 76
135 65 142
174 72 22
