400 3
185 11 114
142 141 95
154 128 35
97 142 63
145 195 106
24 119 43
121 77 149
58 151 116
14 128 126
180 126 76
48 102 131
158 138 58
60 169 173
109 35 87
3 160 133
94 52 186
19 45 57
137 155 136
126 89 100
181 156 176
165 134 54
123 87 105
189 200 61
10 193 7
133 126 190
158 120 104
84 75 160
117 185 160
11 6 13
121 46 165
165 131 188
68 121 71
149 19 97
4 82 29
85 93 199
137 70 198
76 143 111
172 5 173
61 167 143
134 121 179
67 8 167
73 37 82
72 137 149
59 171 87
190 82 174
6 144 2
57 54 45
164 114 117
176 27 198
190 33 111
136 91 160
180 154 137
110 107 55
17 21 177
23 44 84
99 192 46
165 18 199
95 103 121
111 124 139
198 86 182
170 16 44
86 152 181
82 31 133
64 29 36
107 190 145
197 56 92
48 192 185
159 145 148
14 99 63
63 55 55
39 55 92
9 13 114
182 45 125
200 96 3
104 177 3
161 59 139
96 77 30
119 80 140
168 137 15
13 73 198
119 81 146
151 58 6
13 24 86
123 78 8
130 69 3
179 134 192
53 108 138
165 36 146
117 172 36
180 30 185
111 84 108
162 49 173
113 194 87
199 95 84
22 23 62
147 79 197
188 103 186
59 26 162
93 55 35
196 46 144
11 6 111
6 117 165
41 27 84
7 200 140
164 107 179
125 106 100
77 19 106
67 25 17
176 22 142
41 162 197
100 185 84
65 47 199
88 116 120
43 97 10
180 155 92
2 103 28
69 9 61
4 191 166
50 22 83
52 15 146
18 180 29
73 37 64
47 91 126
158 8 199
102 122 66
152 16 61
166 145 3
15 175 121
177 153 93
144 143 55
125 127 51
141 119 195
31 161 100
184 169 126
184 97 155
82 182 53
107 58 161
118 84 155
125 76 191
131 23 191
142 101 38
51 8 184
194 8 192
90 195 61
102 43 141
133 39 178
40 34 118
104 71 79
194 161 199
53 101 37
38 73 43
139 163 57
39 176 186
130 16 118
188 167 66
37 27 51
128 105 122
139 166 115
14 67 96
35 148 61
79 137 148
113 196 62
91 5 167
135 30 115
173 143 75
107 24 186
31 45 194
47 154 84
35 93 4
152 21 16
132 15 164
137 62 12
182 144 160
35 160 4
19 144 90
17 43 135
178 137 193
54 69 121
49 175 130
136 2 187
8 119 129
108 62 153
96 90 198
57 74 174
162 20 122
83 58 100
20 22 64
192 193 90
173 66 59
159 66 54
162 42 61
167 160 5
198 66 152
12 105 167
148 122 13
177 13 7
124 156 145
88 43 66
95 28 25
181 3 25
162 25 47
88 138 18
180 100 117
6 131 185
158 32 42
70 101 59
193 25 77
11 93 126
147 148 179
161 190 127
6 10 78
72 85 152
45 97 153
114 26 158
55 51 92
199 193 14
192 167 69
111 165 62
108 25 114
13 59 119
21 196 99
188 132 164
14 87 164
33 12 48
127 49 91
83 70 159
44 76 194
128 15 127
133 72 30
122 180 75
165 145 41
60 192 96
63 42 45
72 163 184
89 80 92
34 6 38
82 14 156
33 200 14
153 64 172
175 16 185
113 127 84
163 23 8
68 133 43
34 48 38
156 191 130
170 182 42
104 166 175
44 183 103
140 163 189
63 98 30
136 131 155
58 11 152
116 157 104
83 40 80
109 60 178
33 45 39
76 168 107
37 37 39
76 160 187
102 121 175
169 126 9
10 165 159
119 179 150
129 106 110
26 128 43
166 58 136
182 129 18
144 165 138
185 32 47
23 3 24
134 165 151
97 5 38
154 178 84
156 64 89
129 188 170
35 24 124
163 110 131
152 184 183
54 129 49
44 92 1
121 165 41
52 62 181
186 65 15
36 83 53
120 44 36
75 13 55
145 43 82
52 47 197
9 46 195
186 78 80
11 41 162
151 171 162
188 158 180
43 14 98
155 95 119
55 27 105
56 7 69
165 156 48
136 65 34
73 120 51
1 110 193
43 169 185
102 72 140
18 105 189
185 53 102
86 186 84
81 35 68
8 141 42
123 126 196
8 172 5
33 56 160
35 183 132
88 34 99
111 124 184
137 144 80
21 158 123
134 24 172
196 191 119
103 89 173
176 37 46
125 99 46
194 35 111
94 168 77
179 95 135
152 2 180
57 112 115
166 17 180
10 36 188
7 124 121
190 67 181
85 18 146
132 85 79
165 63 187
109 155 68
135 66 107
137 5 58
196 53 164
52 159 137
28 161 187
20 2 133
112 142 65
53 184 168
200 114 122
74 146 121
134 134 146
78 7 171
191 8 11
60 186 131
95 14 138
176 188 15
100 178 154
97 80 46
36 131 107
1 101 35
25 134 160
111 49 160
79 104 133
163 26 47
38 12 40
31 104 58
140 29 99
145 105 175
85 15 188
5 98 172
198 169 180
101 76 45
25 166 148
135 94 29
175 138 115
28 9 129
6 174 176
27 52 2
57 193 117
60 15 72
39 39 14
198 130 23
19 56 173
133 154 24
46 36 170
39 151 126
74 156 75
96 185 97
173 12 193
146 60 149
115 23 164
71 20 103
69 115 60
67 189 63
127 152 61
6 109 169
6 174 200
39 195 70
156 164 151
143 46 147
40 5 112
60 195 182
48 3 60
136 139 165
146 198 35
153 131 91
