900 3
95 98 33
41 67 19
65 110 51
83 100 52
154 66 183
155 94 93
130 76 168
161 65 47
108 92 55
162 13 91
162 16 1
38 45 119
155 135 157
101 191 170
94 19 111
119 114 116
189 181 197
133 164 7
5 132 154
173 176 78
144 183 190
26 174 182
103 151 121
91 127 69
15 25 43
26 96 93
45 58 183
86 136 130
89 98 120
9 59 32
163 169 77
61 162 30
89 29 29
165 86 57
25 111 176
94 45 168
157 45 71
73 153 18
146 25 36
28 172 186
174 167 127
67 117 175
145 164 99
54 39 86
153 170 61
4 195 114
150 98 144
103 13 4
126 103 107
15 138 56
31 50 142
126 16 81
10 199 28
158 41 121
97 150 171
142 68 174
105 13 31
170 200 114
199 96 48
88 42 99
25 63 56
60 102 92
132 92 164
84 15 4
6 25 12
188 50 153
89 151 193
155 188 122
45 159 74
18 60 149
29 59 149
147 11 75
68 42 27
153 103 88
151 156 8
9 188 142
101 67 188
175 47 179
182 98 147
123 153 143
26 10 115
151 138 192
172 82 97
153 58 6
7 167 41
96 121 142
21 186 151
156 189 127
117 166 199
21 188 34
36 177 144
46 66 127
107 78 178
197 83 127
80 29 178
115 144 72
169 41 188
136 35 165
118 128 16
167 161 195
193 38 120
171 20 98
159 33 163
51 188 66
39 127 84
113 123 144
154 136 66
52 108 47
195 93 84
175 112 125
186 103 29
90 73 188
53 190 74
173 102 193
124 67 91
160 189 40
141 178 119
53 200 7
20 189 140
183 102 106
103 185 53
31 187 177
48 125 92
186 10 146
192 118 72
65 167 65
67 18 161
9 142 115
140 167 124
53 152 31
78 108 163
36 59 85
46 146 143
18 128 17
192 29 198
26 103 170
89 167 36
136 147 96
120 94 172
1 5 84
75 200 159
22 115 121
169 39 188
126 198 162
169 103 99
42 108 26
73 197 44
37 34 125
102 18 160
48 61 148
174 101 108
152 15 123
156 157 130
120 153 67
64 133 91
119 153 37
171 129 10
142 15 38
159 144 107
105 98 107
49 19 62
6 149 70
164 48 87
86 22 139
145 76 50
3 63 73
76 104 64
66 50 141
178 105 131
54 35 114
51 61 21
18 160 153
3 168 172
77 195 157
152 33 16
150 98 154
180 155 128
162 52 58
147 177 112
200 44 152
73 183 1
120 145 51
157 164 104
155 163 17
149 145 187
23 157 31
35 49 189
132 96 25
104 33 103
89 183 10
84 71 169
65 79 33
134 64 97
12 180 174
166 136 126
6 80 140
90 101 139
10 91 96
6 169 70
59 177 148
177 163 77
135 159 66
88 13 13
104 44 179
115 17 75
94 159 194
138 63 98
157 138 112
178 198 181
39 81 61
93 198 30
157 99 183
90 82 45
103 14 65
127 93 162
82 49 54
136 199 79
70 105 39
82 70 19
146 123 19
11 70 59
50 134 26
193 84 155
50 196 188
62 13 85
123 124 79
30 64 114
38 161 192
97 177 132
45 198 187
152 165 17
151 160 10
4 138 33
84 141 91
55 99 143
147 10 12
151 95 156
148 10 71
168 90 198
40 48 2
116 96 88
83 165 65
71 7 108
93 68 84
93 105 46
5 179 104
64 28 162
143 20 50
138 168 55
116 53 77
105 9 166
121 179 31
165 60 75
199 143 100
167 89 44
177 70 145
89 2 187
178 141 43
111 17 118
163 95 11
80 6 186
60 11 71
164 96 60
94 89 157
82 118 196
30 130 25
71 39 124
182 44 53
4 160 158
109 187 106
122 73 53
52 199 152
139 155 19
101 152 25
190 67 75
78 155 11
131 157 28
131 17 136
20 111 138
94 153 91
52 15 140
40 67 144
149 30 148
34 133 124
147 133 132
6 73 166
130 190 99
156 123 83
62 90 6
45 23 171
188 8 179
162 106 188
162 142 195
74 29 31
71 158 199
99 172 148
120 114 41
102 96 101
70 141 63
79 104 73
192 88 3
48 180 129
94 163 18
37 60 86
125 103 77
142 31 181
16 33 96
118 85 157
134 187 15
185 139 25
75 7 47
86 172 160
67 47 181
13 128 102
148 165 168
148 79 46
12 126 152
64 141 141
78 192 188
9 30 131
175 191 182
43 72 121
184 184 193
64 100 26
108 181 16
137 27 185
36 16 45
140 135 118
57 33 13
166 163 31
181 151 46
155 131 88
189 92 72
96 129 57
200 178 107
88 172 18
56 140 145
120 184 121
93 86 64
130 101 49
174 199 109
171 184 47
70 112 119
103 50 53
131 187 178
167 14 200
39 193 152
46 104 132
170 180 131
36 165 154
181 62 89
94 153 113
106 127 42
156 195 185
10 42 113
5 196 76
59 198 12
90 99 154
107 169 15
95 109 94
58 101 166
158 78 89
148 133 11
39 132 119
189 175 90
163 108 122
50 105 195
164 73 21
87 133 39
20 14 147
62 1 147
10 193 163
188 122 146
29 101 1
1 43 106
145 5 9
187 5 86
31 74 83
52 13 93
171 175 123
102 33 127
19 128 5
136 166 72
63 56 124
151 200 69
128 91 165
104 9 112
58 178 144
194 92 81
98 114 127
123 196 2
95 185 66
23 55 100
3 186 122
98 99 18
127 173 130
46 40 78
138 106 73
99 95 116
187 179 185
8 46 28
27 42 47
175 156 100
49 97 187
17 191 172
96 136 200
14 147 23
182 124 123
129 84 21
24 1 112
119 162 186
152 128 62
173 40 185
156 169 47
121 35 31
197 146 135
49 21 134
12 163 154
129 88 43
177 155 194
167 48 84
133 162 20
156 36 145
172 10 131
21 173 146
31 185 173
116 158 175
15 132 46
193 130 16
103 123 101
158 179 52
93 29 67
143 80 132
199 115 135
51 184 103
34 77 196
166 30 96
164 176 71
117 28 52
162 187 105
87 72 95
169 131 161
194 140 43
98 191 34
198 84 174
1 122 155
198 41 37
185 101 73
115 83 118
179 183 180
130 147 74
160 112 134
62 149 160
169 28 177
85 27 57
71 59 153
160 56 168
117 2 27
40 161 182
152 30 60
44 117 44
200 47 104
60 159 78
84 169 59
176 146 36
49 30 116
90 159 87
6 1 157
44 53 187
177 169 199
111 97 130
147 24 10
1 131 166
55 175 9
99 48 112
106 57 129
82 129 173
84 150 178
106 101 25
22 8 87
189 30 104
104 29 37
200 43 123
33 198 154
14 61 169
140 13 145
78 179 9
60 21 48
110 59 34
183 163 173
73 155 67
182 147 159
21 34 178
26 68 158
164 165 86
103 67 38
149 2 84
170 108 14
63 197 116
108 58 147
118 193 118
127 49 171
40 41 163
92 160 104
4 114 12
24 141 67
190 95 43
195 162 152
131 9 186
128 25 62
179 3 31
34 143 172
143 157 55
44 169 57
76 35 19
155 110 38
123 45 187
111 99 60
144 125 70
160 152 128
179 199 10
58 50 183
76 78 47
130 81 62
52 143 107
34 165 120
172 98 193
182 2 142
67 50 157
194 105 87
167 54 39
62 30 183
118 187 125
130 75 9
66 187 40
184 172 85
38 99 72
163 119 28
199 84 165
40 125 23
42 190 79
153 73 47
50 37 84
150 140 31
178 61 185
48 52 104
81 11 5
90 26 64
85 126 37
127 169 111
200 108 166
139 184 4
56 63 141
66 52 126
2 48 114
39 116 47
183 20 112
186 197 25
179 32 102
66 25 159
111 152 115
54 18 126
32 139 24
10 139 108
58 138 156
166 184 4
182 190 174
174 47 101
140 97 14
55 160 27
101 93 178
114 76 27
107 73 164
149 30 8
54 93 76
91 105 46
114 26 136
11 119 63
46 38 45
32 198 180
52 189 110
178 13 158
55 48 33
131 59 122
34 24 46
38 138 107
7 152 98
116 47 26
26 141 188
113 91 89
109 177 108
76 132 132
46 6 172
101 10 161
196 56 12
58 76 128
90 162 123
176 11 137
88 123 132
134 159 155
132 26 157
133 66 98
128 6 12
113 154 190
63 160 177
169 24 84
47 4 160
35 67 89
22 164 26
123 36 9
133 184 36
140 73 132
193 98 73
34 54 109
47 155 105
103 2 9
61 169 31
34 188 196
35 52 74
42 17 125
114 74 25
30 165 107
174 24 167
154 99 82
148 171 6
40 174 120
123 167 164
172 31 164
99 143 25
137 3 18
87 168 154
101 180 101
74 49 51
35 56 103
76 135 172
112 79 90
19 92 44
171 64 5
25 180 73
194 189 12
67 26 76
67 200 56
132 142 2
154 129 155
103 112 139
9 29 161
179 85 97
183 82 27
